2026-07-09 15:31:09,503 [INFO] Log file: apollo_extraction_20260709_153109.log
2026-07-09 15:32:33,322 [INFO] Page 54: 25 contacts, 3823 total available
2026-07-09 15:32:33,323 [INFO] Checkpointed: 1 contacts, page 54
2026-07-09 15:32:34,325 [INFO] Searching page 55: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:35,564 [INFO] Page 55: 25 contacts, 3823 total available
2026-07-09 15:32:35,564 [INFO] Checkpointed: 1 contacts, page 55
2026-07-09 15:32:36,569 [INFO] Searching page 56: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:37,135 [INFO] Page 56: 25 contacts, 3823 total available
2026-07-09 15:32:37,135 [INFO] Checkpointed: 1 contacts, page 56
2026-07-09 15:32:38,137 [INFO] Searching page 57: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:38,660 [INFO] Page 57: 25 contacts, 3823 total available
2026-07-09 15:32:38,660 [INFO] Checkpointed: 1 contacts, page 57
