2026-07-09 15:29:28,485 [INFO] Log file: apollo_extraction_20260709_152928.log
2026-07-09 15:30:13,810 [INFO] Checkpointed: 1 contacts, page 28
2026-07-09 15:30:14,814 [INFO] Searching page 29: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:15,389 [INFO] Page 29: 25 contacts, 3823 total available
2026-07-09 15:30:15,391 [INFO] Checkpointed: 1 contacts, page 29
2026-07-09 15:30:16,391 [INFO] Searching page 30: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:16,956 [INFO] Page 30: 25 contacts, 3823 total available
2026-07-09 15:30:16,957 [INFO] Checkpointed: 1 contacts, page 30
2026-07-09 15:30:17,957 [INFO] Searching page 31: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:19,591 [INFO] Page 31: 25 contacts, 3823 total available
2026-07-09 15:30:19,592 [INFO] Checkpointed: 1 contacts, page 31
2026-07-09 15:30:20,593 [INFO] Searching page 32: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:21,146 [INFO] Page 32: 25 contacts, 3823 total available
2026-07-09 15:30:21,146 [INFO] Checkpointed: 1 contacts, page 32
2026-07-09 15:30:22,152 [INFO] Searching page 33: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:22,609 [INFO] Page 33: 25 contacts, 3823 total available
2026-07-09 15:30:22,609 [INFO] Checkpointed: 1 contacts, page 33
2026-07-09 15:30:23,612 [INFO] Searching page 34: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:25,150 [INFO] Page 34: 25 contacts, 3823 total available
2026-07-09 15:30:25,151 [INFO] Checkpointed: 1 contacts, page 34
2026-07-09 15:30:26,154 [INFO] Searching page 35: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:26,667 [INFO] Page 35: 25 contacts, 3823 total available
2026-07-09 15:30:26,669 [INFO] Checkpointed: 1 contacts, page 35
2026-07-09 15:30:27,673 [INFO] Searching page 36: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
